[25-Mar-2025 08:07:34 Europe/Berlin] PHP Fatal error:  Call to a member function bind_param() on boolean in C:\xampp\htdocs\agrisys\aims\dashboard.php on line 18
[25-Mar-2025 08:07:34 Europe/Berlin] PHP Fatal error:  Call to a member function bind_param() on boolean in C:\xampp\htdocs\agrisys\aims\dashboard.php on line 18
[25-Mar-2025 08:07:35 Europe/Berlin] PHP Fatal error:  Call to a member function bind_param() on boolean in C:\xampp\htdocs\agrisys\aims\dashboard.php on line 18
[25-Mar-2025 08:07:35 Europe/Berlin] PHP Fatal error:  Call to a member function bind_param() on boolean in C:\xampp\htdocs\agrisys\aims\dashboard.php on line 18
[25-Mar-2025 08:07:35 Europe/Berlin] PHP Fatal error:  Call to a member function bind_param() on boolean in C:\xampp\htdocs\agrisys\aims\dashboard.php on line 18
[31-Mar-2025 08:18:38 Europe/Berlin] Login error: Invalid email or password
[10-Apr-2025 04:16:42 Europe/Berlin] Login error: Invalid email or password
[10-Apr-2025 07:35:05 Europe/Berlin] PHP Fatal error:  Call to a member function bind_param() on boolean in C:\xampp\htdocs\agrisys\aims\workers.php on line 12
[10-Apr-2025 07:36:11 Europe/Berlin] PHP Fatal error:  Call to a member function bind_param() on boolean in C:\xampp\htdocs\agrisys\aims\workers.php on line 12
[10-Apr-2025 08:28:41 Europe/Berlin] PHP Fatal error:  Call to a member function bind_param() on boolean in C:\xampp\htdocs\agrisys\aims\archive_worker.php on line 36
[10-Apr-2025 08:38:25 Europe/Berlin] PHP Fatal error:  Call to undefined method mysqli::getConnection() in C:\xampp\htdocs\agrisys\aims\archive_worker.php on line 19
[10-Apr-2025 08:38:50 Europe/Berlin] PHP Fatal error:  Call to undefined method mysqli::getConnection() in C:\xampp\htdocs\agrisys\aims\archive_worker.php on line 19
[10-Apr-2025 08:38:51 Europe/Berlin] PHP Fatal error:  Call to undefined method mysqli::getConnection() in C:\xampp\htdocs\agrisys\aims\archive_worker.php on line 19
[10-Apr-2025 08:38:52 Europe/Berlin] PHP Fatal error:  Call to undefined method mysqli::getConnection() in C:\xampp\htdocs\agrisys\aims\archive_worker.php on line 19
[10-Apr-2025 08:38:54 Europe/Berlin] PHP Fatal error:  Call to undefined method mysqli::getConnection() in C:\xampp\htdocs\agrisys\aims\archive_worker.php on line 19
[10-Apr-2025 08:44:07 Europe/Berlin] Archive Error: Worker already archived
[10-Apr-2025 08:44:10 Europe/Berlin] Archive Error: Worker already archived
[10-Apr-2025 08:44:12 Europe/Berlin] Archive Error: Worker already archived
[10-Apr-2025 08:44:13 Europe/Berlin] Archive Error: Worker already archived
[10-Apr-2025 08:52:59 Europe/Berlin] PHP Fatal error:  Call to a member function bind_param() on boolean in C:\xampp\htdocs\agrisys\aims\archive_worker.php on line 50
[10-Apr-2025 09:18:06 Europe/Berlin] PHP Fatal error:  Call to undefined method mysqli::getConnection() in C:\xampp\htdocs\agrisys\aims\archive_worker.php on line 18
